isNews,otherWebsiteLink,href,follow_allowed,isFileLink,isBaseOnly,containsNOfollowKeyword,rel,title,urlLength,titleLength,nOfDdigits,nOfForwardSlash,nOfDot,nOfEqual,nOfHash
FALSE,FALSE,https://www.turkish.shafaqna.com/EN,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892012,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,FALSE,https://www.haberler.com/magazin/,TRUE,FALSE,FALSE,FALSE,,Magazin Haberleri,33,17,0,4,2,0,0
FALSE,FALSE,https://www.sondakika.com/spor/,TRUE,FALSE,FALSE,FALSE,,Son Dakika Spor Haberleri,31,25,0,4,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/piyasa/1947-faiz,TRUE,FALSE,FALSE,FALSE,,,50,0,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/piyasa/2211-bitcoin,TRUE,FALSE,FALSE,FALSE,,,53,0,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/ekonomi/borsa,TRUE,FALSE,FALSE,FALSE,,,39,0,0,4,2,0,0
FALSE,FALSE,https://www.f5haber.com/konu/koronavirus,TRUE,FALSE,FALSE,FALSE,,Koronavirüs,40,11,0,4,2,0,0
FALSE,FALSE,https://www.borsagundem.com/piyasa,TRUE,FALSE,FALSE,FALSE,,Piyasa,34,6,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/buy-traffic,TRUE,FALSE,FALSE,FALSE,,,36,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.posta.com.tr/spor,TRUE,FALSE,FALSE,FALSE,,Spor,29,4,0,3,3,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/emekli,TRUE,FALSE,FALSE,FALSE,,Emekli,48,6,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/calisan-haklari,TRUE,FALSE,FALSE,FALSE,,Çalışan Hakları,57,15,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/personel-alimi,TRUE,FALSE,FALSE,FALSE,,Personel Alımı,56,14,0,4,2,0,0
FALSE,TRUE,/TR/AL/sou/www.cnnturk.com/CNN Turk,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892011,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,FALSE,https://www.haberler.com/spor/,TRUE,FALSE,FALSE,FALSE,,Spor Haberleri,30,14,0,4,2,0,0
FALSE,FALSE,https://www.sondakika.com/magazin/,TRUE,FALSE,FALSE,FALSE,,Son Dakika Magazin Haberleri,34,28,0,4,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/gazete-mansetleri,TRUE,FALSE,FALSE,FALSE,,Gazete Manşetleri,41,17,0,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/gundem,TRUE,FALSE,FALSE,FALSE,,Gündem,34,6,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.posta.com.tr/ekonomi,TRUE,FALSE,FALSE,FALSE,,Ekonomi,32,7,0,3,3,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/cok-sorulanlar,TRUE,FALSE,FALSE,FALSE,,Uzmana Sor,56,10,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/isveren,TRUE,FALSE,FALSE,FALSE,,KOBİ,49,4,0,4,2,0,0
FALSE,TRUE,/TR/AL/sou/www.cnnturk.com/CNN Turk,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892010,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.cnnturk.com/CNN Turk,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,2,0,0
FALSE,FALSE,https://www.haberler.com/ekonomi/,TRUE,FALSE,FALSE,FALSE,,Ekonomi,33,7,0,4,2,0,0
FALSE,FALSE,https://www.sondakika.com/dunya/,TRUE,FALSE,FALSE,FALSE,,Son Dakika Dünya Haberleri,32,26,0,4,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/kullanimkosullari,TRUE,FALSE,FALSE,TRUE,,Kullanım Koşulları,43,18,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/gundem,TRUE,FALSE,FALSE,FALSE,,Gündem,30,6,0,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/hisse-onerileri,TRUE,FALSE,FALSE,FALSE,,Hisse Öneri Listesi,43,19,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/tr-news,TRUE,FALSE,FALSE,FALSE,,,32,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/tr-news,TRUE,FALSE,FALSE,FALSE,,,32,0,0,3,1,0,0
FALSE,TRUE,http://www.gazetevatan.com/calisma-hayati/memur,TRUE,FALSE,FALSE,FALSE,,Memur,47,5,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/gundem/,TRUE,FALSE,FALSE,FALSE,,Gündem,34,6,0,4,2,0,0
FALSE,TRUE,http://sampiy10.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,Şampiy10,32,8,2,3,2,0,0
FALSE,FALSE,https://www.posta.com.tr/magazin,TRUE,FALSE,FALSE,FALSE,,Magazin,32,7,0,3,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892009,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.cnnturk.com/CNN Turk,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892008,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.takvim.com.tr/takvim,TRUE,FALSE,FALSE,FALSE,,,35,0,0,5,3,0,0
FALSE,TRUE,https://indirimkodu.haberler.com/,TRUE,FALSE,FALSE,FALSE,,İndirim Kuponları,33,17,0,3,2,0,0
FALSE,FALSE,https://www.haberler.com/tumu/,TRUE,FALSE,FALSE,FALSE,,Tümü,30,4,0,4,2,0,0
FALSE,FALSE,https://www.sondakika.com/yerel-haberler/,TRUE,FALSE,FALSE,FALSE,,Son Dakika Yerel Haberler,41,25,0,4,2,0,0
FALSE,FALSE,https://www.haberturk.com/privacy,TRUE,FALSE,FALSE,TRUE,,Gizlilik Politikası,33,19,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/ekonomi,TRUE,FALSE,FALSE,FALSE,,Ekonomi,31,7,0,3,2,0,0
FALSE,FALSE,https://www.borsagundem.com/teknik-analiz,TRUE,FALSE,FALSE,FALSE,,Teknik Analiz,41,13,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/#tr-today,TRUE,FALSE,FALSE,FALSE,,,34,0,0,3,1,0,1
FALSE,FALSE,https://theworldnews.net/#tr-edited,TRUE,FALSE,FALSE,FALSE,,,35,0,0,3,1,0,1
FALSE,FALSE,https://theworldnews.net/#tr-removed,TRUE,FALSE,FALSE,FALSE,,,36,0,0,3,1,0,1
FALSE,TRUE,http://www.gazetevatan.com/siyaset/,TRUE,FALSE,FALSE,FALSE,,Siyaset,35,7,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/ekonomi/,TRUE,FALSE,FALSE,FALSE,,Ekonomi,35,7,0,4,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892007,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.aa.com.tr/Anadolu Ajansi,TRUE,FALSE,FALSE,FALSE,,,39,0,0,5,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892006,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.aa.com.tr/Anadolu Ajansi,TRUE,FALSE,FALSE,FALSE,,,39,0,0,5,3,0,0
FALSE,FALSE,https://www.posta.com.tr/magazin/cumartesipostasi,TRUE,FALSE,FALSE,FALSE,,Cumartesi Postası,49,17,0,4,3,0,0
FALSE,TRUE,https://portal.haberler.com/Login/,FALSE,FALSE,FALSE,FALSE,nofollow,Üye Girişi,34,10,0,4,2,0,0
FALSE,TRUE,https://indirimkodu.haberler.com/,FALSE,FALSE,FALSE,FALSE,nofollow noopener,İndirim Kuponları,33,17,0,3,2,0,0
TRUE,FALSE,https://www.sondakika.com/haber/haber-altin-522-5-lira-ile-son-7-ayin-en-yuksek-14162301/,TRUE,FALSE,FALSE,FALSE,,"Altın 522,5 lira ile son 7 ayın en yüksek seviyesinde",89,53,5,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/,TRUE,FALSE,TRUE,FALSE,,,26,0,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/spor,TRUE,FALSE,FALSE,FALSE,,Spor,28,4,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.borsagundem.com/neden-yukseldi,TRUE,FALSE,FALSE,FALSE,,Neden Yükseldi,42,14,0,3,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/dunya/,TRUE,FALSE,FALSE,FALSE,,Dünya,33,5,0,4,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/magazin/,TRUE,FALSE,FALSE,FALSE,,Magazin,35,7,0,4,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892005,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.aa.com.tr/Anadolu Ajansi,TRUE,FALSE,FALSE,FALSE,,,39,0,0,5,3,0,0
FALSE,FALSE,https://www.posta.com.tr/magazin/pazarpostasi,TRUE,FALSE,FALSE,FALSE,,Pazar Postası,45,13,0,4,3,0,0
FALSE,TRUE,https://ad.doubleclick.net/ddm/trackclk/N462801.271929HABERLER.COM/B25146109.292343007;dc_trk_aid=485674185;dc_trk_cid=143871927;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=${GDPR};gdpr_consent=${GDPR_CONSENT_755};ltd=,FALSE,FALSE,FALSE,FALSE,nofollow,,236,0,0,6,5,9,0
TRUE,FALSE,https://www.haberler.com/son-dakika-8-60-sinirina-dayanan-dolar-tum-14162179-haberi/,TRUE,FALSE,FALSE,FALSE,,"Son dakika: Dolar 8,59 ile euro 8,47 ile rekor tazeledi",84,55,6,4,2,0,0
TRUE,FALSE,https://www.sondakika.com/haber/haber-oyuncu-ece-hakim-harvard-universitesi-nden-mezun-14162299/,TRUE,FALSE,FALSE,FALSE,,"Oyuncu Ece Hakim, Harvard Üniversitesi’nden mezun oldu",96,54,0,5,2,0,0
FALSE,FALSE,https://www.haberturk.com/canliyayin,TRUE,FALSE,FALSE,FALSE,,,36,0,0,3,2,0,0
FALSE,FALSE,https://www.haberturk.com/video,TRUE,FALSE,FALSE,FALSE,,HT Video,31,8,0,3,2,0,0
FALSE,FALSE,https://www.f5haber.com/,TRUE,FALSE,TRUE,FALSE,,,24,0,0,3,2,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://theworldnews.net/tr-news/,TRUE,FALSE,FALSE,FALSE,,,33,0,0,4,1,0,0
FALSE,FALSE,https://theworldnews.net/,TRUE,FALSE,TRUE,FALSE,,,25,0,0,3,1,0,0
FALSE,FALSE,https://www.borsagundem.com/neden-dustu,TRUE,FALSE,FALSE,FALSE,,Neden Düştü ?,39,13,0,3,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/oyun/,TRUE,FALSE,FALSE,FALSE,,Oyun,32,4,0,4,2,0,0
FALSE,FALSE,https://www.gazetevatan.com/,TRUE,FALSE,TRUE,FALSE,,,28,0,0,3,2,0,0
FALSE,TRUE,http://www.gazetevatan.com/,TRUE,FALSE,FALSE,FALSE,,Ana Sayfa,27,9,0,3,2,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892004,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.trt.net.tr/TRT,TRUE,FALSE,FALSE,FALSE,,,29,0,0,5,3,0,0
TRUE,FALSE,https://www.turkish.shafaqna.com/TR/AL/5892003,TRUE,FALSE,FALSE,FALSE,,,46,0,0,5,3,0,0
FALSE,TRUE,/TR/AL/sou/www.trt.net.tr/TRT,TRUE,FALSE,FALSE,FALSE,,,29,0,0,5,3,0,0
FALSE,FALSE,https://www.posta.com.tr/sosyal-yasam,TRUE,FALSE,FALSE,FALSE,,Yaşam,37,5,0,3,3,0,0
